emp_id,姓名,age,性别,department,job,city,salary,education,work_year,is_married
160,甘敏,27,女,技术部,软件测试,苏州,12200.0,大专,4,否
95,杜洋,34,男,技术部,云计算开发,杭州,29000.0,硕士,10,是
124,梅敏,32,女,技术部,云平台工程师,深圳,16243.0,本科,8,是
121,倪磊,33,男,技术部,移动端开发,北京,19500.0,本科,9,是
185,袁洋,32,男,技术部,云计算开发,杭州,28000.0,硕士,8,是
246,边静,32,女,技术部,前端架构,成都,23800.0,硕士,8,是
44,彭敏,31,女,技术部,架构师,深圳,38000.0,硕士,9,是
47,胡浩,28,男,技术部,游戏开发,武汉,21500.0,本科,5,否
281,杭磊,35,,技术部,后端开发,北京,21000.0,本科,11,是
98,苏芳,24,女,技术部,前端开发,重庆,14500.0,本科,2,否
292,贺芳,32,女,技术部,算法工程师,上海,32000.0,博士,8,是
134,殷敏,33,,技术部,架构师,深圳,37000.0,硕士,9,否
182,蔡芳,31,女,技术部,信息专员,上海,11800.0,本科,7,否
275,滕洋,32,男,技术部,云计算开发,杭州,27500.0,硕士,8,是
230,诸敏,31,女,技术部,数据分析,苏州,16200.0,本科,7,否
36,佟静,30,女,技术部,信息安全,成都,26500.0,硕士,6,否
278,单芳,33,女,技术部,前端开发,重庆,14000.0,本科,9,是
298,刘芳,24,女,技术部,数据库管理员,重庆,21800.0,本科,2,否
92,莫芳,31,女,技术部,信息专员,上海,12000.0,本科,7,否
