emp_id,姓名,age,性别,department,job,city,salary,education,work_year,is_married
61,王浩,30,,技术部,AI开发,北京,32000.0,博士,6,否
260,茅敏,29,女,技术部,大数据运维,苏州,20200.0,本科,5,否
86,董静,29,女,技术部,数据开发,成都,18500.0,本科,6,是
196,邵芳,33,女,技术部,测试开发,成都,20000.0,本科,9,是
166,荆静,30,女,技术部,IT支持,成都,16243.0,本科,6,否
191,庞磊,35,,技术部,后端开发,北京,21500.0,本科,11,是
137,翟浩,32,男,技术部,游戏开发,武汉,20500.0,本科,8,是
1,王磊,28,男,技术部,后端开发,北京,18500.0,本科,5,是
63,郑强,33,男,技术部,后端架构,广州,31000.0,硕士,10,是
253,羊强,26,男,技术部,爬虫开发,广州,16300.0,本科,3,否
70,石敏,24,女,技术部,软件测试,苏州,12500.0,大专,2,否
28,曹丽,32,女,技术部,移动端开发,重庆,20500.0,本科,7,是
11,冯辉,33,男,技术部,大数据开发,北京,28000.0,硕士,8,是
214,饶敏,32,女,技术部,云平台工程师,深圳,16243.0,本科,8,是
90,胡敏,26,女,技术部,系统集成,苏州,16000.0,本科,3,否
101,马磊,35,,技术部,后端开发,北京,22000.0,本科,11,是
266,崇静,32,女,技术部,数据开发,成都,17800.0,本科,8,是
180,慕敏,29,女,技术部,系统集成,苏州,15800.0,本科,5,否
