emp_id,姓名,age,性别,department,job,city,salary,education,work_year,is_married
40,谢敏,27,女,技术部,嵌入式开发,苏州,19000.0,本科,4,否
146,席静,28,女,技术部,网络工程师,成都,13500.0,大专,5,否
270,伍敏,29,女,技术部,系统集成,苏州,15600.0,本科,5,否
114,曹敏,25,女,技术部,运维工程师,深圳,16243.0,本科,3,否
272,蒋芳,31,女,技术部,信息专员,上海,11600.0,本科,7,否
243,贺强,34,男,技术部,后端架构,广州,29000.0,硕士,11,是
263,敖强,27,男,技术部,全栈开发,广州,22000.0,本科,4,否
33,侯强,31,男,技术部,云平台工程师,广州,24000.0,本科,7,否
140,阎敏,31,女,技术部,数据分析,苏州,16500.0,本科,7,否
156,江静,32,女,技术部,前端架构,成都,24000.0,硕士,8,是
56,黎静,25,女,技术部,网络工程师,成都,13000.0,大专,2,否
106,韩芳,33,女,技术部,测试开发,成都,20500.0,本科,9,是
143,冀强,29,男,技术部,自动化测试,广州,15500.0,本科,5,否
286,游静,33,女,技术部,测试开发,成都,19800.0,本科,9,是
188,卓芳,33,女,技术部,前端开发,重庆,14200.0,本科,9,是
153,华强,34,男,技术部,后端架构,广州,30000.0,硕士,11,是
202,禹芳,32,女,技术部,算法工程师,上海,33000.0,博士,8,是
241,费磊,31,男,技术部,AI开发,北京,30000.0,博士,7,否
