emp_id,姓名,age,性别,department,job,city,salary,education,work_year,is_married
108,袁敏,30,女,技术部,大数据开发,重庆,27000.0,硕士,6,否
208,成芳,24,女,技术部,数据库管理员,重庆,22000.0,本科,2,否
112,郭芳,32,女,技术部,算法工程师,上海,34000.0,博士,8,是
220,伍敏,25,女,技术部,嵌入式开发,苏州,18200.0,本科,2,否
73,汤强,27,男,技术部,爬虫开发,广州,17000.0,本科,4,否
151,鲁磊,31,男,技术部,AI开发,北京,31000.0,博士,7,否
50,包敏,33,女,技术部,数据分析,苏州,17000.0,本科,8,是
53,常强,27,男,技术部,自动化测试,广州,15000.0,本科,4,否
204,贝敏,25,女,技术部,运维工程师,深圳,16243.0,本科,3,否
118,薛芳,24,女,技术部,数据库管理员,重庆,22500.0,本科,2,否
76,陆静,29,女,技术部,IT支持,成都,16243.0,本科,5,否
288,岑芳,30,女,技术部,大数据开发,重庆,26000.0,硕士,6,否
233,包强,29,男,技术部,自动化测试,广州,15300.0,本科,5,否
163,欧强,26,男,技术部,爬虫开发,广州,16500.0,本科,3,否
256,计静,30,女,技术部,IT支持,成都,16243.0,本科,6,否
211,庞磊,33,男,技术部,移动端开发,北京,19000.0,本科,9,是
83,白强,30,男,技术部,全栈开发,广州,23000.0,本科,7,否
173,尚强,27,男,技术部,全栈开发,广州,22500.0,本科,4,否
